"","x"
"1063","210_C_Washer Dryer Connections               "
"1064","210_C_Waterproofing                          "
"1065","210_carpet                                   "
"1066","210_Carpet                                   "
"1067","210_Carpet #101-204                          "
"1068","210_Carpet #115-101                          "
"1069","210_Carpet & Padding                         "
"1070","210_carpet 114-104                           "
"1071","210_Carpet fan                               "
"1072","210_Carpeting                                "
"1073","210_Change orders #104-103/114-104           "
"1074","210_Compctor Pads/Enclosures                 "
"1075","210_Compressor                               "
"1076","210_Condensers                               "
"1077","210_condensor                                "
"1078","210_Condensor                                "
"1079","210_Condensors                               "
"1080","210_Construction Trash Removal               "
"1081","210_Containers                               "
"1082","210_Copier/fax mach                          "
"1083","210_Dishwasher                               "
"1084","210_Door fr Renovations #107-103             "
"1085","210_Doors - Exterior                         "
"1086","210_Draw 2 on contract WRH001-2007           "
"1087","210_E_Air Conditioning & Heat                "
"1088","210_E_Dishwasher                             "
"1089","210_E_Miscellaneous Asset Replacements       "
"1090","210_E_Range/Ventahood                        "
"1091","210_E_Refrigerator/Icemaker                  "
"1092","210_E_Refrigerators                          "
"1093","210_Exterior Doors                           "
"1094","210_F_Amenity Replacements                   "
"1095","210_F_Cabinets & Vanities                    "
"1096","210_F_Office/Clubroom Furniture              "
"1097","210_Fax/copier/printer                       "
"1098","210_Field Supervision                        "
"1099","210_Grading                                  "
"1100","210_heat pump unit                           "
"1101","210_Hose Jetter                              "
"1102","210_ice maker kits                           "
"1103","210_Icemaker                                 "
"1104","210_Install piers                            "
"1105","210_Landscaping                              "
"1106","210_Lift Station Replacment                  "
"1107","210_Lighting &Fixtures                       "
"1108","210_Loan Cost-Refinance                      "
"1109","210_Loan Costs                               "
"1110","210_Lum Sum Offic Improvments                "
"1111","210_Lump Sum Pool Area Improvmnts            "
"1112","210_Management Fee                           "
"1113","210_Miscellaneous Asset Replacmnts           "
"1114","210_Office Equipment                         "
"1115","210_Office Remodel                           "
"1116","210_Office/Clubroom Furniture                "
"1117","210_Paint for Unit Remodel                   "
"1118","210_poly sprayer                             "
"1119","210_Pool area Renovations                    "
"1120","210_Pools &Fountains                         "
"1121","210_Pressure washer                          "
"1122","210_Printer for office                       "
"1123","210_Range                                    "
"1124","210_Range/Ventahood                          "
"1125","210_Ranges                                   "
"1126","210_Refrigator #106-104                      "
"1127","210_Refrigators                              "
"1128","210_Refrigerator                             "
"1129","210_Refrigerator &Icemakers                  "
"1130","210_Refrigerators                            "
"1131","210_Refrigerators fr 8ct units               "
"1132","210_Rehab Labor                              "
"1133","210_Rehab Materials                          "
"1134","210_Rehab unit 109-                          "
"1135","210_Rehab: Frig and                          "
"1136","210_Renovation Apart#109-103                 "
"1137","210_Renovation Apartment #117-201            "
"1138","210_renovation apartment #120-101            "
"1139","210_Renovation Apt #117-104                  "
"1140","210_Renovation to Unit #117-201              "
"1141","210_Renovations                              "
"1142","210_Renovations to units                     "
"1143","210_Road repair aftr sewer replacm           "
"1144","210_Rplc rotton balcony                      "
"1145","210_Sanitary Sewer System                    "
"1146","210_Sanitary Sewer Systm                     "
"1147","210_scrapers  pull                           "
"1148","210_Shop Vacuum                              "
"1149","210_Short water heater                       "
"1150","210_Smoke alarm bat                          "
"1151","210_stretch and ins                          "
"1152","210_Supervision                              "
"1153","210_Supervision 10/08                        "
"1154","210_Supervision 6/08                         "
"1155","210_Supervision 9/08                         "
"1156","210_Supervision Fees                         "
"1157","210_Supervison                               "
"1158","210_Supervison 8/08                          "
"1159","210_Supervisor                               "
"1160","210_Supervisory                              "
"1161","210_Tree Removal                             "
"1162","210_Tree Removed                             "
"1163","210_Ventahood                                "
"1164","210_vertical blinds                          "
"1165","210_Vinyl                                    "
"1166","210_water heater                             "
"1167","210_Water Heater                             "
"1168","210_Water Heaters                            "
"1169","2104 Building Repairs                        "
"1170","216 Vinyl - 12 Pieces                        "
"1171","220-Rehab Materials                          "
"1172","220    C_Basic Elect Matl & Methods          "
"1173","220    C_Cabinets & Vanities                 "
"1174","220    C_Carpet                              "
"1175","220    C_Cleaning & Grubbing                 "
"1176","220    C_Concrete Sidewalks                  "
"1177","220    C_Construction Contingency            "
"1178","220    C_Countertops                         "
"1179","220    C_Erosion Control                     "
"1180","220    C_Exterior Doors                      "
"1181","220    C_Field Supervision                   "
"1182","220    C_Finish Carpentry                    "
"1183","220    C_Finish Hardware                     "
"1184","220    C_Fire Protection Spec                "
"1185","220    C_Glazing & Mirrors                   "
"1186","220    C_Gypsum Board                        "
"1187","220    C_Interior Doors                      "
"1188","220    C_Interior Painting                   "
"1189","220    C_Lum Sum Mailhouses                  "
"1190","220    C_Molding & Trim                      "
"1191","220    C_Plumbing                            "
"1192","220    C_Resilient Flooring                  "
"1193","220    C_Retaining Walls                     "
"1194","220    C_Sanitary Sewer Systems              "
"1195","220    C_Storage Shed                        "
"1196","220    C_Storm Drainage Systems              "
"1197","220    C_Supervision                         "
"1198","220    C_Trash Removal                       "
"1199","220    C_Wallcovering                        "
"1200","220    E_Appliances                          "
"1201","220    E_Dishwashers                         "
"1202","220    E_HVAC                                "
"1203","220    E_Range Hoods                         "
"1204","220    E_Ranges                              "
"1205","220    E_Refrigerators                       "
"1206","220    E_Water Heaters                       "
"1207","220    F_Closet & storage Shelving           "
"1208","220    F_Lighting & Fixtures                 "
"1209","220    F_Window Coverings                    "
"1210","220_#111  #255  RANGE D/W                    "
"1211","220_#111 REHAB                               "
"1212","220_#135 & 160 Range.                        "
"1213","220_#138REHAB 1BRCA                          "
"1214","220_#150/RANGE DW R                          "
"1215","220_#158 RANGE                               "
"1216","220_#204 REHAB CARP                          "
"1217","220_#226REHAB 2BRCA                          "
"1218","220_#240/CARPET& PAD                         "
"1219","220_#240/Refrigerator                        "
"1220","220_#246  #114  #125  #233 REHAB CARP        "
"1221","220_#246REFRIG RANG                          "
"1222","220_#247 & 226 FRID D                        "
"1223","220_#247REHAB 2BRCA                          "
"1224","220_#255 REHAB CARP                          "
"1225","220_#258 RANGE                               "
"1226","220_13 SEER 2.5 TON                          "
"1227","220_1st Draw-Contract WRH001-2007            "
"1228","220_2ton seer HV                             "
"1229","220_A/C FILTERS- P.                          "
"1230","220_A/C Unit                                 "
"1231","220_A/C Units                                "
"1232","220_APT 138 APPLIAN                          "
"1233","220_APT. 246 D/W                             "
"1234","220_Balconies                                "
"1235","220_Balcony                                  "
"1236","220_C_Carpet                                 "
"1237","220_C_Daily Labor                            "
"1238","220_C_Erosion Control                        "
"1239","220_C_Framing                                "
"1240","220_C_Interior Rebuilding                    "
"1241","220_C_Lum Sum Mailhouses                     "
"1242","220_C_Shingles & Roofing Tiles               "
"1243","220_C_Storm Drainage Systems                 "
"1244","220_C_Supervision                            "
"1245","220_C_Trash Removal                          "
"1246","220_Carpet                                   "
"1247","220_Carpet Replacmnt                         "
"1248","220_Carpeting                                "
"1249","220_Change orders renov-#111/255             "
"1250","220_Completion of Bldg 10 drainage           "
"1251","220_Computer                                 "
"1252","220_Condensers                               "
"1253","220_Constr Supervision                       "
"1254","220_Construction Trash Removal               "
"1255","220_Daily Labor-Fire Restoration             "
"1256","220_Dishwasher                               "
"1257","220_Dog Park/Nature Trail/Pool Furniture     "
"1258","220_Draw 2 on contract WRH001-07             "
"1259","220_E_Air Conditioning & Heat                "
"1260","220_E_Dishwasher                             "
"1261","220_E_Miscellaneous Asset Replacements       "
"1262","220_E_Refrigerator/Icemaker                  "
"1263","220_E_Refrigerators                          "
"1264","220_E_Water Heaters                          "
"1265","220_Erosion Control                          "
"1266","220_Erosion Control/Slope                    "
"1267","220_F_Amenity Replacements                   "
"1268","220_Field Supervision                        "
"1269","220_FILTERS & Water Heaters                  "
"1270","220_FLAVIA COFFEE Machine                    "
"1271","220_Fridge #133                              "
"1272","220_G.F CART REPAIR                          "
"1273","220_Golf Cart                                "
"1274","220_Golf Cart Fuel Pump                      "
"1275","220_Grills for Recreation Area               "
"1276","220_HVAC Units                               "
"1277","220_INSTALL EXT. LI                          "
"1278","220_Intrior renovation-Unit #159             "
"1279","220_Irragation line repair suppli            "
"1280","220_IRRIGATION LINE                          "
"1281","220_KEY MACHINE                              "
"1282","220_KILZ                                     "
"1283","220_Landscaping                              "
"1284","220_Landscaping Improvements                 "
"1285","220_Lanscaping Improvement                   "
"1286","220_LEASE BINS                               "
"1287","220_Lighting &Fixtrures                      "
"1288","220_Loan Costs                               "
"1289","220_METRO-ROOTER DR                          "
"1290","220_New Carpet                               "
"1291","220_New carpet #151                          "
"1292","220_New Carpet #213                          "
"1293","220_Office Equipment                         "
"1294","220_Office/Clubroom Furniture                "
"1295","220_Pool Area Rehab                          "
"1296","220_Pool Repairs                             "
"1297","220_Pool Retaining Wall                      "
"1298","220_Pressure Washer/Wand                     "
"1299","220_PROPERTY BINS                            "
"1300","220_Range                                    "
"1301","220_Range #133                               "
"1302","220_Range #238                               "
"1303","220_REFRIG. #154                             "
"1304","220_Refrigators                              "
"1305","220_Refrigerator                             "
"1306","220_REFRIGERATOR                             "
"1307","220_Refrigerator & Range                     "
"1308","220_Refrigerators                            "
"1309","220_Refrigrator #201                         "
"1310","220_Rehab #201 &#152                         "
"1311","220_Rehab Labor                              "
"1312","220_Rehab Materials                          "
"1313","220_Rehab Units #159 &230                    "
"1314","220_REMOVAL OF 4 DE                          "
"1315","220_Renovation 4ct units                     "
"1316","220_Renovation repairs 4ct units             "
"1317","220_Renovationr 2ct Units                    "
"1318","220_Renovations                              "
"1319","220_Renovations #213 & 151                   "
"1320","220_Renovations 6ct units                    "
"1321","220_Renovations to Unit #204                 "
"1322","220_Renovations to Unit #233                 "
"1323","220_Renovations to Unit #240                 "
"1324","220_Roll Off Trash Bin                       "
"1325","220_Roof Repairs                             "
"1326","220_Roofing                                  "
"1327","220_Sidewalk repairs                         "
"1328","220_Sidewalk/Wall Repair                     "
"1329","220_Soil Stablization                        "
"1330","220_Supervision                              "
"1331","220_Supervison                               "
"1332","220_Supervison  06/08                        "
"1333","220_Supervison 10/08                         "
"1334","220_Supervison 12/08                         "
"1335","220_Supervison 8/08                          "
"1336","220_Supervison 9/08                          "
"1337","220_Supervisor                               "
"1338","220_Supervisory                              "
"1339","220_TEXTURE SPRAYER                          "
"1340","220_THERMOMETER ALG                          "
"1341","220_TRASH BINS                               "
"1342","220_Tree trimming                            "
"1343","220_Ventahood                                "
"1344","220_W/H SPARE                                "
"1345","220_Wall &sidewalk Repair                    "
"1346","220_Wall Repair                              "
"1347","220_water heater                             "
"1348","220_Water heater                             "
"1349","220_Water Heater                             "
"1350","220_WATER HEATER                             "
"1351","220_water heaters                            "
"1352","220_Water Heaters                            "
"1353","230    C_Basic Elect Matl & Methods          "
"1354","230    C_Cabinets & Vanities                 "
"1355","230    C_Carpet                              "
"1356","230    C_Cleaning & Grubbing                 "
"1357","230    C_Countertops                         "
"1358","230    C_Exterior Doors                      "
"1359","230    C_Exterior Lightings                  "
"1360","230    C_Exterior Painting                   "
"1361","230    C_Field Supervision                   "
"1362","230    C_Finish Carpentry                    "
"1363","230    C_Finish Hardware                     "
"1364","230    C_Fire Protection Spec                "
"1365","230    C_Glazing & Mirrors                   "
"1366","230    C_Gypsum Board                        "
"1367","230    C_Interior Doors                      "
"1368","230    C_Interior Painting                   "
"1369","230    C_Landscaping                         "
"1370","230    C_Lum Sum Office Improvements         "
"1371","230    C_Metal Fabrications                  "
"1372","230    C_Paving & Marking                    "
"1373","230    C_Plumbing                            "
"1374","230    C_Resilient Flooring                  "
"1375","230    C_Shingles & Roofing Tiles            "
"1376","230    C_Site Lighting                       "
"1377","230    C_Storage Shed                        "
"1378","230    C_Storm Drainage Systems              "
"1379","230    C_Supervision                         "
"1380","230    C_Trash Removal                       "
"1381","230    C_Tree Removal                        "
"1382","230    C_Wallcovering                        "
"1383","230    C_Waterproofing                       "
"1384","230    C_Windows                             "
"1385","230    E_Appliances                          "
"1386","230    E_Dishwashers                         "
"1387","230    E_Range Hoods                         "
"1388","230    E_Ranges                              "
"1389","230    E_Refrigerators                       "
"1390","230    E_Water Heaters                       "
"1391","230    F_Lighting & Fixtures                 "
"1392","230    F_Window Coverings                    "
"1393","230_1 Frig 2 dishw                           "
"1394","230_1401-A Rehab ne                          "
"1395","230_1404-B Rehab 3b & 1409A 3bd rehab        "
"1396","230_1504A replace c                          "
"1397","230_1509C refrig replace part                "
"1398","230_1512H range                              "
"1399","230_1512K 1 BD Rehab                         "
"1400","230_1st draw-Contract WRH001-2007            "
"1401","230_2 Condensors                             "
"1402","230_2 Frig 2 stove                           "
"1403","230_2 HVAC                                   "
"1404","230_A/C Unit                                 "
"1405","230_A/C Units                                "
"1406","230_AC Unit                                  "
"1407","230_Air Conditioning & Heat                  "
"1408","230_air handler                              "
"1409","230_Air handler                              "
"1410","230_Air Handler                              "
"1411","230_Air Handlers                             "
"1412","230_Appliances                               "
"1413","230_Appliances fr #1405B                     "
"1414","230_Appliances fr Rehab                      "
"1415","230_Appraisal-LC                             "
"1416","230_Bathrm Ccountertop                       "
"1417","230_C_Carpet                                 "
"1418","230_C_Daily Labor                            "
"1419","230_C_Interior Painting                      "
"1420","230_C_Landscaping Improvements               "
"1421","230_C_Resilient Flooring                     "
"1422","230_C_Shingles & Roofing Tiles               "
"1423","230_C_Storage Shed                           "
"1424","230_C_Storm Drainage Systems                 "
"1425","230_C_Supervision                            "
"1426","230_C_Trash Removal                          "
"1427","230_C_Windows                                "
"1428","230_Cabinet paint f                          "
"1429","230_Carpet                                   "
"1430","230_Carpet #1405D                            "
"1431","230_Carpet #1504D                            "
"1432","230_Carpet 1417C                             "
"1433","230_Carpet Replacmnt                         "
"1434","230_Carpet/Pad 1417                          "
"1435","230_Carpeting                                "
"1436","230_Change orders-to 1409A &404B             "
"1437","230_Cleaning &Grubbing                       "
"1438","230_Completion of FA015-2007                 "
"1439","230_Condenser                                "
"1440","230_Condensor HVAC                           "
"1441","230_Condensor R-22                           "
"1442","230_Condensors                               "
"1443","230_Condensors 4ct                           "
"1444","230_Construction Dumpster                    "
"1445","230_Construction Trash Removal               "
"1446","230_Construction Travel                      "
"1447","230_Dishwasher                               "
"1448","230_Dishwashers                              "
"1449","230_Diswasher                                "
"1450","230_Door for Renovations                     "
"1451","230_Draw 2 on contract WRH001-2007           "
"1452","230_Draw 2 pm contract WRH001-2007           "
"1453","230_Draw on contract #FA013-2007             "
"1454","230_Dumpster Enclosure                       "
"1455","230_E_Air Conditioning & Heat                "
"1456","230_E_Range/Ventahood                        "
"1457","230_E_Refrigerator/Icemaker                  "
"1458","230_E_Refrigerators                          "
"1459","230_E_Water Heaters                          "
"1460","230_Expense report                           "
"1461","230_Exterior Lightings                       "
"1462","230_F_Amenity Replacements                   "
"1463","230_Fan Motor                                "
"1464","230_fax machine                              "
"1465","230_Fence replacement                        "
"1466","230_Fire Damage Unit Renov                   "
"1467","230_Golf Cart                                "
"1468","230_Hardware                                 "
"1469","230_Hot water heater                         "
"1470","230_hot water tank                           "
"1471","230_House hold cont                          "
"1472","230_Household conta                          "
"1473","230_HVAC's                                   "
"1474","230_HVAC (6ct)                               "
"1475","230_Insurance Claims                         "
"1476","230_Interior Painting                        "
"1477","230_Interior renovat-1416F 1416C 1           "
"1478","230_kilz water hea                           "
"1479","230_Landscape Improvments                    "
"1480","230_Landscaping                              "
"1481","230_Landscaping Improvement                  "
"1482","230_Landscaping Improvements                 "
"1483","230_Lanscaping Improvements                  "
"1484","230_Loan Cost                                "
"1485","230_Loan Costs                               "
"1486","230_Lump Sum Pool Area Improvmnts            "
"1487","230_Membrane Roofing                         "
"1488","230_New Carpet                               "
"1489","230_Office/Clubroom Furniture                "
"1490","230_Outdoor Furniture                        "
"1491","230_Patio Repair                             "
"1492","230_Paving &Marking                          "
"1493","230_Plumbing supplies                        "
"1494","230_Pool area renovations                    "
"1495","230_Pool pump repairs                        "
"1496","230_Pool Rehab                               "
"1497","230_Pressure Washer/Wand                     "
"1498","230_Purchasd monitor fr offic                "
"1499","230_Range                                    "
"1500","230_Range 1421C                              "
"1501","230_Range/Ventahood                          "
"1502","230_Ranges                                   "
"1503","230_refrig d/w range for rehab               "
"1504","230_Refrigator                               "
"1505","230_Refrigators                              "
"1506","230_refrigerator                             "
"1507","230_Refrigerator                             "
"1508","230_refrigerator fo                          "
"1509","230_Refrigerators                            "
"1510","230_Rehab                                    "
"1511","230_Rehab appl for                           "
"1512","230_Rehab appliance                          "
"1513","230_Rehab Material                           "
"1514","230_Rehab Materials                          "
"1515","230_Rehab Units                              "
"1516","230_Rehab Windows                            "
"1517","230_Renovation 4Units                        "
"1518","230_Renovation 5ct units                     "
"1519","230_Renovation Apartment #1401A              "
"1520","230_renovation apartment #1504L              "
"1521","230_Renovations                              "
"1522","230_Renovations Entrance light               "
"1523","230_Renovations to 3ct Units                 "
"1524","230_Renovations to units                     "
"1525","230_Repair slab lea                          "
"1526","230_Replace 1416C c                          "
"1527","230_Roll Off Dumpster                        "
"1528","230_Roll Offs                                "
"1529","230_Roof coating                             "
"1530","230_Roofing (Membrane)                       "
"1531","230_Roofing Membrane Replcmnt                "
"1532","230_Roofing Repairs                          "
"1533","230_Roofing Replacment                       "
"1534","230_Shingles &Roofing Tiles                  "
"1535","230_Site Lighting Replacmnt                  "
"1536","230_Storage                                  "
"1537","230_Storage Container                        "
"1538","230_Storm Dainage Repair                     "
"1539","230_Stove                                    "
"1540","230_Supervision                              "
"1541","230_Supervision 5/08                         "
"1542","230_Supervision 8/08                         "
"1543","230_Supervison                               "
"1544","230_Supervison 10/08                         "
"1545","230_Supervison 12/08                         "
"1546","230_Supervison 6/08                          "
"1547","230_Supervison 9/08                          "
"1548","230_Supervisor                               "
"1549","230_Supervisory                              "
"1550","230_Tree Removal                             "
"1551","230_Vanity for 1417                          "
"1552","230_Vinyl for inhou                          "
"1553","230_water heater                             "
"1554","230_Water heater                             "
"1555","230_Water Heater                             "
"1556","230_Water Heaters                            "
"1557","230_Wet Vac                                  "
"1558","230_Window                                   "
"1559","230_Window frame &additional work            "
"1560","230_Windows                                  "
"1561","24 Compact Dryer                             "
"1562","24 compact Washer                            "
"1563","24 Compact Washer                            "
"1564","24 dishwasher                                "
"1565","24 Drawers and medicine cabinet              "
"1566","24 Stackable Washer/Dryer                    "
"1567","24 Undctr D/W                                "
"1568","24 Undctr D/W Bisq                           "
"1569","240    C_Carpet                              "
"1570","240    C_Cleaning & Grubbing                 "
"1571","240    C_Concrete Sidewalks                  "
"1572","240    C_Daily Labor                         "
"1573","240    C_Erosion Control                     "
"1574","240    C_Gutter & Downspouts                 "
"1575","240    C_Irrigation System                   "
"1576","240    C_Perimeter Fencing                   "
"1577","240    C_Security Gates                      "
"1578","240    C_Supervision                         "
"1579","240    E_Appliances                          "
"1580","240    E_Communications Alarms               "
"1581","240_1.5 Ton AC Unit                          "
"1582","240_1.5T Cond unit 1408                      "
"1583","240_1.5t Condenser                           "
"1584","240_100% contrac job completion              "
"1585","240_1015 CARPET/PAD                          "
"1586","240_103/104 COND. U                          "
"1587","240_104 HOTPOINT RE                          "
"1588","240_1104 1.5 COND U                          "
"1589","240_1316 1.5 13 SR                           "
"1590","240_1502 Air Handle                          "
"1591","240_203/204 COND UT                          "
"1592","240_2T Condenser                             "
"1593","240_50% completion of contract               "
"1594","240_704 1.5 TON CON                          "
"1595","240_A/C 1.5 ton condenser                    "
"1596","240_A/C 1.5 Ton Condenser                    "
"1597","240_A/C Condensers                           "
"1598","240_A/C Unit                                 "
"1599","240_A/C Units                                "
"1600","240_A/C Units (3ct)                          "
"1601","240_Air Conditioning & Heat                  "
"1602","240_Air Handler                              "
"1603","240_Appraisal-LC                             "
"1604","240_Baseboards-9ct units                     "
"1605","240_Baseboards                               "
"1606","240_baseboards in units                      "
"1607","240_Baseboards rplacd @7ct units             "
"1608","240_Brick Power Washer/Solution              "
"1609","240_C_Brick                                  "
"1610","240_C_Brick & Foundation Repairs             "
"1611","240_C_Concrete Sidewalks                     "
"1612","240_C_Fences & Gates                         "
"1613","240_C_Gutter & Downspouts                    "
"1614","240_C_Interior Painting                      "
"1615","240_C_Paving & Marking                       "
"1616","240_C_Supervision                            "
"1617","240_Commications-Alarms                      "
"1618","240_Concrete Replacments                     "
"1619","240_Cond unit 1513                           "
"1620","240_Cond. 1513.                              "
"1621","240_CONDEN. UNIT 208                         "
"1622","240_Condenser                                "
"1623","240_Condenser unit                           "
"1624","240_Constr Supervision                       "
"1625","240_Construction Travel                      "
"1626","240_Dishwasher                               "
"1627","240_Dishwaster                               "
"1628","240_E_Air Conditioning & Heat                "
"1629","240_E_Range/Ventahood                        "
"1630","240_E_Refrigerator/Icemaker                  "
"1631","240_Electrical Repair                        "
"1632","240_Exterior painting                        "
"1633","240_Exterior Rehab                           "
"1634","240_Exterior Siding                          "
"1635","240_Facia & Trim boards Replacmnt            "
"1636","240_Fence                                    "
"1637","240_Fencing                                  "
"1638","240_Field Supervision                        "
"1639","240_Gate Card Reader Replcmnt                "
"1640","240_Gate Repairs                             "
"1641","240_HVAC                                     "
"1642","240_HVAC Condenser Units                     "
"1643","240_Install baseboards-4ct Units             "
"1644","240_Install Baseboards                       "
"1645","240_Install lighting                         "
"1646","240_Installation-baseboards-3units           "
"1647","240_Installd basboard in 8ct Units           "
"1648","240_Installd baseboards-14ct units           "
"1649","240_Installed baseboards-6ct units           "
"1650","240_installed baseboards                     "
"1651","240_installed baseboards in units            "
"1652","240_Installed baseboards in units#           "
"1653","240_installed baseboards unit#510            "
"1654","240_Installing-baseboard-12ct unit           "
"1655","240_Interior Hardwa                          "
"1656","240_Landscaping whole property               "
"1657","240_Loan Cost-Refinance                      "
"1658","240_Loan Cost                                "
"1659","240_Loan Costs                               "
"1660","240_Major Plumbing Replcmnts                 "
"1661","240_Management Fee                           "
"1662","240_mulch for property                       "
"1663","240_Office Furniture                         "
"1664","240_Painting Suppli                          "
"1665","240_Painting/Baseboards                      "
"1666","240_Paving &Marking                          "
"1667","240_Pool Improvmnts                          "
"1668","240_Pool plastering/chorinator               "
"1669","240_Pool upgrades 50% startup                "
"1670","240_Range                                    "
"1671","240_RANGE #1206                              "
"1672","240_Range & Ventahoods                       "
"1673","240_Range and Hodd                           "
"1674","240_Range/Hood                               "
"1675","240_Range/Range Hood                         "
"1676","240_Range/Ventahood                          "
"1677","240_Ranges                                   "
"1678","240_Refrigator-Unit #1401                    "
"1679","240_Refrigator                               "
"1680","240_Refrigerator                             "
"1681","240_Refrigerators                            "
"1682","240_Rehab (Facebrick)                        "
"1683","240_Removal of boiler                        "
"1684","240_Renovations                              "
"1685","240_Renovations to units                     "
"1686","240_Stove 803                                "
"1687","240_Supervision                              "
"1688","240_Supervision 1/08                         "
"1689","240_Supervision 3/08                         "
"1690","240_Supervision 4/08                         "
"1691","240_Supervision 9/08                         "
"1692","240_Supervison                               "
"1693","240_Supervison 05/08                         "
"1694","240_Supervison 10/08                         "
"1695","240_Supervison 6/08                          "
"1696","240_Supervisor                               "
"1697","240_Supervisor 8/08                          "
"1698","2400 PSI Pressure washer                     "
"1699","2ton fan coil                                "
"1700","2ton louver unit                             "
"1701","2ton seer condemsor                          "
"1702","2ton seer condenser                          "
"1703","2ton seer unit                               "
"1704","2washers - 1 dryer                           "
"1705","3 Disposals                                  "
"1706","3 local artworks framed                      "
"1707","3 Microwaves                                 "
"1708","3 painting 1 poster framed                   "
"1709","3 Radios                                     "
"1710","3 Refrigerator's                             "
"1711","3 Refrigerators                              "
"1712","3 ton condensor                              "
"1713","3/8 Liquid Dryer                             "
"1714","30 Duct White Hood                           "
"1715","30 Ducted White Hood                         "
"1716","30 Ductless Almond Hood                      "
"1717","30 ductless range hood                       "
"1718","30 Ductless White Hood                       "
"1719","30 Elec Range Bisq                           "
"1720","30 Elec Range White                          "
"1721","30 electric range                            "
"1722","30 Electric Range                            "
"1723","30 inch ductless range hood                  "
"1724","30"" Electric Range Frigidaire                "
"1725","300    C_Compactor Pads/Enclosures           "
"1726","300    C_Concrete Sidewalks                  "
"1727","300    C_Erosion Control                     "
"1728","300    C_Exterior Doors                      "
"1729","300    C_Exterior Lightings                  "
"1730","300    C_Exterior Painting                   "
"1731","300    C_Flooring                            "
"1732","300    C_Gutter & Downspouts                 "
"1733","300    C_Insulation                          "
"1734","300    C_Insurance Claims                    "
"1735","300    C_Landscaping                         "
"1736","300    C_Lum Sum Office Improvements         "
"1737","300    C_Lump Sum Laundry                    "
"1738","300    C_Lump Sum Pool Area Improvements     "
"1739","300    C_Paving & Marking                    "
"1740","300    C_Perimeter Fencing                   "
"1741","300    C_Plumbing                            "
"1742","300    C_Shingles & Roofing Tiles            "
"1743","300    C_Storm Drainage Systems              "
"1744","300    C_Supervision                         "
"1745","300    E_Signs                               "
"1746","300    F_Furnishings                         "
"1747","300    F_Furniture & Accessories             "
"1748","300    F_Outdoor Furniture                   "
"1749","300 supervision fees                         "
"1750","300_ 3 venthoods                             "
"1751","300_ Dishwasher                              "
"1752","300_ Stove                                   "
"1753","300_ vent hoods                              "
"1754","300_1 a/c unit                               "
"1755","300_1 air handler                            "
"1756","300_1 condencing unit                        "
"1757","300_1 condensing unit                        "
"1758","300_1 dishwasher                             "
"1759","300_1 Dishwasher                             "
"1760","300_1 fridge                                 "
"1761","300_1 Range                                  "
"1762","300_1 refrgerator                            "
"1763","300_1 refrigerator                           "
"1764","300_1 Refrigerator                           "
"1765","300_1 stove                                  "
"1766","300_2 condensers                             "
"1767","300_2 Condensing Units                       "
"1768","300_2 File Cabinets                          "
"1769","300_2 Refrigerators                          "
"1770","300_2 venthoods                              "
"1771","300_2 Venthoods                              "
"1772","300_2ct boilers                              "
"1773","300_3 Condensing un                          "
"1774","300_3 Venthoods                              "
"1775","300_4 BBQ Pits                               "
"1776","300_A/C Condenser                            "
"1777","300_A/C unit                                 "
"1778","300_A/C Units - 2                            "
"1779","300_AC & Heat                                "
"1780","300_AC condenser                             "
"1781","300_AC units-3                               "
"1782","300_AC units                                 "
"1783","300_Air Conditioner                          "
"1784","300_Air COnditioning & Heat                  "
"1785","300_air handler                              "
"1786","300_Air handler                              "
"1787","300_Air Handler                              "
"1788","300_Air Handler & Condensers                 "
"1789","300_Air handler & Condensing Unit            "
"1790","300_air handlers                             "
"1791","300_Amenity Replacements                     "
"1792","300_Balconies 0.4 draw.                      "
"1793","300_Balconies and Patio                      "
"1794","300_Boiler pump                              "
"1795","300_C_Concrete & Sidewalks                   "
"1796","300_C_Exterior Doors                         "
"1797","300_C_Insurance Claims                       "
"1798","300_C_Paving & Marking                       "
"1799","300_C_Perimeter Fencing                      "
"1800","300_C_Site Lighting                          "
"1801","300_C_Supervision                            "
"1802","300_Communications- Alarms                   "
"1803","300_Condencing Unit                          "
"1804","300_Condencing Unit & Air Handler            "
"1805","300_Condenser                                "
"1806","300_Condenser unit                           "
"1807","300_Condenser Unit                           "
"1808","300_Condensers-2                             "
"1809","300_Condensing Unit                          "
"1810","300_Condensors                               "
"1811","300_Constr Supervision                       "
"1812","300_Construction Travel- R. Wooten           "
"1813","300_Copier                                   "
"1814","300_Dell Computer for office                 "
"1815","300_dishwasher                               "
"1816","300_Dishwasher                               "
"1817","300_Dishwashers                              "
"1818","300_Draw for exterior painting               "
"1819","300_E_Air Conditioning & Heat                "
"1820","300_E_Dishwasher                             "
"1821","300_E_Miscellaneous Asset Replacements       "
"1822","300_E_Refrigerator/Icemaker                  "
"1823","300_Exterior Paint                           "
"1824","300_Exterior Paint & Siding                  "
"1825","300_Exterior Painting                        "
"1826","300_Exterior painting & landing              "
"1827","300_Facia 0.3333 draw                        "
"1828","300_Fascia partial pmt                       "
"1829","300_Fencing repair @NW in May07              "
"1830","300_Filed Supervision                        "
"1831","300_Gate Card Reader                         "
"1832","300_Gates                                    "
"1833","300_HVAC                                     "
"1834","300_Install washr &dryer connection          "
