assetno,descr,svcdate,cost,boyaccumdepr,depr2013,yecccumdepr,taxnbv,deprmeth,life,propno,group,yearsinsvc,remyears,diminimusnbv,supervision,suprnbv
1170,Supervision - Apr. '12 Mgmt. Fees            ,4/1/2012,79.98,2.06,2.91,4.97,75.01,S/L,27.5,162,Capital Improvements,1.75,25.75,75.01,Y,75.01
1179,Supervision - May '12 Mgmt. Fees             ,5/1/2012,184.71,4.20,6.72,10.92,173.79,S/L,27.5,162,Capital Improvements,1.67,25.83,173.79,Y,173.79
1266,Water Heaters                                ,12/1/2012,272.97,0.41,9.93,10.34,262.63,S/L,27.5,162,Capital Improvements,1.08,26.42,0.00,N,0.00
1267,Water Heaters                                ,8/1/2012,280.43,3.82,10.20,14.02,266.41,S/L,27.5,162,Capital Improvements,1.42,26.08,0.00,N,0.00
1268,Water Heaters                                ,5/1/2012,280.43,6.37,10.20,16.57,263.86,S/L,27.5,162,Capital Improvements,1.67,25.83,0.00,N,0.00
1269,Water Heaters                                ,4/1/2012,560.86,14.45,20.39,34.84,526.02,S/L,27.5,162,Capital Improvements,1.75,25.75,0.00,N,0.00
1270,Water Heaters                                ,1/1/2012,280.43,9.77,10.20,19.97,260.46,S/L,27.5,162,Capital Improvements,2.00,25.50,0.00,N,0.00
1284,Wood Stair Assemblies                        ,10/1/2012,2900.22,21.97,105.46,127.43,2772.79,S/L,27.5,162,Capital Improvements,1.25,26.25,0.00,N,0.00
1285,Wood Stair Assemblies                        ,9/1/2012,11353.00,120.41,412.84,533.25,10819.75,S/L,27.5,162,Capital Improvements,1.33,26.17,0.00,N,0.00
1318,Office Equipment                             ,5/1/2012,2645.00,1511.43,323.88,1835.31,809.69,200DB,7.0,162,Equipment,1.67,5.33,0.00,N,0.00
1537,Dishwashers                                  ,12/1/2012,474.14,284.48,75.86,360.34,113.80,200DB,5.0,162,Furniture & Fixtures,1.08,3.92,0.00,N,0.00
1538,Dishwashers                                  ,1/1/2012,253.66,152.20,40.58,192.78,60.88,200DB,5.0,162,Furniture & Fixtures,2.00,3.00,0.00,N,0.00
1650,Office/Clubroom Furniture                    ,10/1/2012,875.00,500.00,107.14,607.14,267.86,200DB,7.0,162,Furniture & Fixtures,1.25,5.75,0.00,N,0.00
1651,Office/Clubroom Furniture                    ,6/1/2012,648.27,370.44,79.38,449.82,198.45,200DB,7.0,162,Furniture & Fixtures,1.58,5.42,0.00,N,0.00
1652,Office/Clubroom Furniture                    ,4/1/2012,400.00,228.57,48.98,277.55,122.45,200DB,7.0,162,Furniture & Fixtures,1.75,5.25,0.00,N,0.00
1653,Office/Clubroom Furniture                    ,2/1/2012,320.47,183.13,39.24,222.37,98.10,200DB,7.0,162,Furniture & Fixtures,1.92,5.08,0.00,N,0.00
1665,Plumbing Fixtures                            ,10/1/2012,43.47,0.33,1.58,1.91,41.56,S/L,27.5,162,Furniture & Fixtures,1.25,26.25,41.56,N,0.00
1811,Range/Ventahood                              ,11/1/2012,180.16,108.10,28.82,136.92,43.24,200DB,5.0,162,Furniture & Fixtures,1.16,3.84,43.24,N,0.00
1812,Range/Ventahood                              ,9/1/2012,79.74,47.84,12.76,60.60,19.14,200DB,5.0,162,Furniture & Fixtures,1.33,3.67,19.14,N,0.00
1813,Range/Ventahood                              ,7/1/2012,382.03,229.22,61.12,290.34,91.69,200DB,5.0,162,Furniture & Fixtures,1.50,3.50,0.00,N,0.00
1814,Range/Ventahood                              ,6/1/2012,159.47,95.69,25.51,121.20,38.27,200DB,5.0,162,Furniture & Fixtures,1.58,3.42,38.27,N,0.00
1815,Range/Ventahood                              ,4/1/2012,389.92,233.95,62.39,296.34,93.58,200DB,5.0,162,Furniture & Fixtures,1.75,3.25,0.00,N,0.00
1816,Range/Ventahood                              ,3/1/2012,101.61,60.97,16.26,77.23,24.38,200DB,5.0,162,Furniture & Fixtures,1.84,3.16,24.38,N,0.00
1964,Refrigerator/Icemaker                        ,11/1/2012,950.48,570.29,152.08,722.37,228.11,200DB,5.0,162,Furniture & Fixtures,1.16,3.84,0.00,N,0.00
1965,Refrigerator/Icemaker                        ,6/1/2012,559.69,335.82,89.55,425.37,134.32,200DB,5.0,162,Furniture & Fixtures,1.58,3.42,0.00,N,0.00
1966,Refrigerator/Icemaker                        ,4/1/2012,2230.87,1338.53,356.94,1695.47,535.40,200DB,5.0,162,Furniture & Fixtures,1.75,3.25,0.00,N,0.00
1967,Refrigerator/Icemaker                        ,3/1/2012,1016.68,610.01,162.67,772.68,244.00,200DB,5.0,162,Furniture & Fixtures,1.84,3.16,0.00,N,0.00
1968,Refrigerator/Icemaker                        ,2/1/2012,1024.90,614.94,163.98,778.92,245.98,200DB,5.0,162,Furniture & Fixtures,1.92,3.08,0.00,N,0.00
1969,Refrigerator/Icemaker                        ,1/1/2012,1016.68,610.01,162.67,772.68,244.00,200DB,5.0,162,Furniture & Fixtures,2.00,3.00,0.00,N,0.00
2017,Washer/Dryer                                 ,7/1/2012,1131.83,679.10,181.09,860.19,271.64,200DB,5.0,162,Furniture & Fixtures,1.50,3.50,0.00,N,0.00
2018,Washer/Dryer                                 ,6/1/2012,4147.15,2488.29,663.54,3151.83,995.32,200DB,5.0,162,Furniture & Fixtures,1.58,3.42,0.00,N,0.00
2019,Washer/Dryer                                 ,2/1/2012,565.92,339.55,90.55,430.10,135.82,200DB,5.0,162,Furniture & Fixtures,1.92,3.08,0.00,N,0.00
2061,Concrete Sidewalks                           ,11/1/2012,11206.80,5883.57,532.32,6415.89,4790.91,150DB,15.0,162,Land Improvements,1.16,13.84,0.00,N,0.00
2062,Concrete Sidewalks                           ,10/1/2012,363.50,190.84,17.27,208.11,155.39,150DB,15.0,162,Land Improvements,1.25,13.75,0.00,N,0.00
2069,Erosion Control                              ,10/1/2012,3703.17,1944.17,175.90,2120.07,1583.10,150DB,15.0,162,Land Improvements,1.25,13.75,0.00,N,0.00
2070,Erosion Control                              ,9/1/2012,3640.00,1911.00,172.90,2083.90,1556.10,150DB,15.0,162,Land Improvements,1.33,13.67,0.00,N,0.00
2071,Erosion Control                              ,6/1/2012,485.00,254.63,23.04,277.67,207.33,150DB,15.0,162,Land Improvements,1.58,13.42,0.00,N,0.00
2106,Landscaping-Aux                              ,7/1/2012,1100.00,577.50,52.25,629.75,470.25,150DB,15.0,162,Land Improvements,1.50,13.50,0.00,N,0.00
2107,Landscaping-Aux                              ,6/1/2012,4370.00,2294.25,207.58,2501.83,1868.17,150DB,15.0,162,Land Improvements,1.58,13.42,0.00,N,0.00
2151,Lump Sum Pool Area Improvements              ,10/1/2012,238.50,125.21,11.33,136.54,101.96,150DB,15.0,162,Land Improvements,1.25,13.75,0.00,N,0.00
2152,Lump Sum Pool Area Improvements              ,9/1/2012,2385.00,1252.13,113.29,1365.42,1019.58,150DB,15.0,162,Land Improvements,1.33,13.67,0.00,N,0.00
2180,Perimeter Fencing                            ,9/1/2012,1025.00,538.13,48.69,586.82,438.18,150DB,15.0,162,Land Improvements,1.33,13.67,0.00,N,0.00
2197,Retaining Walls                              ,10/1/2012,6229.83,3270.67,295.92,3566.59,2663.24,150DB,15.0,162,Land Improvements,1.25,13.75,0.00,N,0.00
2198,Retaining Walls                              ,9/1/2012,10510.00,5517.75,499.23,6016.98,4493.02,150DB,15.0,162,Land Improvements,1.33,13.67,0.00,N,0.00
2200,Sanitary Sewer Systems                       ,2/1/2012,4500.00,2362.50,213.75,2576.25,1923.75,150DB,15.0,162,Land Improvements,1.92,13.08,0.00,N,0.00
2209,Security Gates                               ,10/1/2012,171.50,90.04,8.15,98.19,73.31,150DB,15.0,162,Land Improvements,1.25,13.75,73.31,N,0.00
2210,Security Gates                               ,9/1/2012,3000.00,1575.00,142.50,1717.50,1282.50,150DB,15.0,162,Land Improvements,1.33,13.67,0.00,N,0.00
2229,Tree Removal                                 ,9/1/2012,995.00,522.38,47.26,569.64,425.36,150DB,15.0,162,Land Improvements,1.33,13.67,0.00,N,0.00
2230,Tree Removal                                 ,8/1/2012,100.00,52.50,4.75,57.25,42.75,150DB,15.0,162,Land Improvements,1.42,13.58,42.75,N,0.00
2231,Tree Removal                                 ,6/1/2012,1350.00,708.75,64.13,772.88,577.12,150DB,15.0,162,Land Improvements,1.58,13.42,0.00,N,0.00
2232,Tree Removal                                 ,5/1/2012,1550.00,813.75,73.63,887.38,662.62,150DB,15.0,162,Land Improvements,1.67,13.33,0.00,N,0.00
1,166_C_Insurance Claims                       ,3/15/2007,10067.90,2120.38,366.11,2486.49,7581.41,S/L,27.5,166,Capital Improvements,6.80,20.70,0.00,N,0.00
2,166_C_Supervision                            ,2/15/2007,3119.36,666.40,113.43,779.83,2339.53,S/L,27.5,166,Capital Improvements,6.88,20.62,0.00,Y,2339.53
3,166_C_Supervision                            ,3/15/2007,12358.61,2602.78,449.40,3052.18,9306.43,S/L,27.5,166,Capital Improvements,6.80,20.70,0.00,Y,9306.43
4,166_C_Concrete Pool Deck                     ,4/15/2007,14525.00,6376.99,857.69,7234.68,7290.32,150DB,15.0,166,Capital Improvements,6.72,8.28,0.00,N,0.00
5,166_C_Insurance Claims                       ,4/15/2007,4267.11,885.76,155.17,1040.93,3226.18,S/L,27.5,166,Capital Improvements,6.72,20.78,0.00,N,0.00
6,166_C_Supervision                            ,4/15/2007,2041.26,423.73,74.23,497.96,1543.30,S/L,27.5,166,Capital Improvements,6.72,20.78,0.00,Y,1543.30
7,166_C_Supervision                            ,5/15/2007,397.29,81.28,14.45,95.73,301.56,S/L,27.5,166,Capital Improvements,6.64,20.86,0.00,Y,301.56
8,166_landscaping upgrade throughout           ,6/6/2007,18998.97,8341.20,1121.87,9463.07,9535.90,150DB,15.0,166,Capital Improvements,6.58,8.42,0.00,N,0.00
9,166_drainage impmts bldg 4 #415              ,6/6/2007,645.00,283.18,38.09,321.27,323.73,150DB,15.0,166,Capital Improvements,6.58,8.42,0.00,N,0.00
10,166_drainage improvements bldg 1             ,6/6/2007,2506.00,1100.22,147.98,1248.20,1257.80,150DB,15.0,166,Capital Improvements,6.58,8.42,0.00,N,0.00
11,166_Erosion control blg 7&8                  ,6/13/2007,9089.62,3990.65,536.73,4527.38,4562.24,150DB,15.0,166,Capital Improvements,6.56,8.44,0.00,N,0.00
12,166_Water Heater                             ,7/5/2007,228.61,45.36,8.31,53.67,174.94,S/L,27.5,166,Capital Improvements,6.50,21.00,0.00,N,0.00
13,166_Insurance Claim #1136                    ,7/3/2007,187.00,37.12,6.80,43.92,143.08,S/L,27.5,166,Capital Improvements,6.50,21.00,143.08,N,0.00
14,166_Ins Claim Carpet Repl Mildew             ,7/24/2007,923.44,923.44,0.00,923.44,0.00,200DB,5.0,166,Capital Improvements,6.44,-1.44,0.00,N,0.00
15,166_Install new cart shshed Maint            ,7/12/2007,720.00,142.90,26.18,169.08,550.92,S/L,27.5,166,Capital Improvements,6.48,21.02,0.00,N,0.00
16,166_Lighting & Gated fence added             ,7/12/2007,3935.00,1727.61,232.36,1959.97,1975.03,150DB,15.0,166,Capital Improvements,6.48,8.52,0.00,N,0.00
17,166_Remodel Laundry center                   ,7/12/2007,7120.00,1413.22,258.91,1672.13,5447.87,S/L,27.5,166,Capital Improvements,6.48,21.02,0.00,N,0.00
18,166_7/07 Supervison                          ,7/31/2007,1574.93,312.60,57.27,369.87,1205.06,S/L,27.5,166,Capital Improvements,6.42,21.08,0.00,Y,1205.06
19,166_Const. Supervision                       ,8/31/2007,279.16,54.56,10.15,64.71,214.45,S/L,27.5,166,Capital Improvements,6.34,21.16,0.00,Y,214.45
20,166_Pavemnt markings/power wash              ,8/14/2007,3988.00,1750.87,235.49,1986.36,2001.64,150DB,15.0,166,Capital Improvements,6.39,8.61,0.00,N,0.00
21,166_Draw fr drainage                         ,9/24/2007,7580.99,3328.32,447.65,3775.97,3805.02,150DB,15.0,166,Capital Improvements,6.27,8.73,0.00,N,0.00
22,166_Draw 1-renov on Unit fire                ,9/24/2007,6979.64,1343.07,253.81,1596.88,5382.76,S/L,27.5,166,Capital Improvements,6.27,21.23,0.00,N,0.00
23,166_Draw #2 on renovaton-Unit fire           ,9/24/2007,34110.44,6563.68,1240.38,7804.06,26306.38,S/L,27.5,166,Capital Improvements,6.27,21.23,0.00,N,0.00
24,166_Const. Supervision                       ,9/30/2007,5432.31,1045.32,197.54,1242.86,4189.45,S/L,27.5,166,Capital Improvements,6.26,21.24,0.00,Y,4189.45
25,166_Drainage improvemnt-Bldg 11              ,9/21/2007,1802.50,791.36,106.44,897.80,904.70,150DB,15.0,166,Capital Improvements,6.28,8.72,0.00,N,0.00
26,166_Mold unit final pymnt & firepl           ,12/21/2007,18980.80,3479.81,690.21,4170.02,14810.78,S/L,27.5,166,Capital Improvements,6.03,21.47,0.00,N,0.00
27,166_Supervision 1207                         ,12/31/2007,1328.66,243.56,48.31,291.87,1036.79,S/L,27.5,166,Capital Improvements,6.01,21.49,0.00,Y,1036.79
28,166_C_Shingles & Roofing Tiles               ,2/15/2007,44562.24,9520.14,1620.45,11140.59,33421.65,S/L,27.5,166,Capital Improvements,6.88,20.62,0.00,N,0.00
29,166_C_Shingles & Roofing Tiles               ,2/15/2007,118687.21,25355.91,4315.90,29671.81,89015.40,S/L,27.5,166,Capital Improvements,6.88,20.62,0.00,N,0.00
30,166_E_Water Heaters                          ,2/15/2007,511.33,109.22,18.59,127.81,383.52,S/L,27.5,166,Equipment,6.88,20.62,0.00,N,0.00
31,166_E_Water Heaters                          ,3/15/2007,254.78,53.63,9.26,62.89,191.89,S/L,27.5,166,Equipment,6.80,20.70,0.00,N,0.00
32,166_E_HVAC                                   ,4/15/2007,2250.00,467.05,81.82,548.87,1701.13,S/L,27.5,166,Equipment,6.72,20.78,0.00,N,0.00
33,166_E_Water Heaters                          ,4/15/2007,465.71,96.65,16.93,113.58,352.13,S/L,27.5,166,Equipment,6.72,20.78,0.00,N,0.00
34,166_#318-water heat                          ,6/5/2007,238.13,47.99,8.66,56.65,181.48,S/L,27.5,166,Equipment,6.58,20.92,0.00,N,0.00
35,166_Water Heater                             ,7/24/2007,238.13,47.27,8.66,55.93,182.20,S/L,27.5,166,Equipment,6.44,21.06,0.00,N,0.00
36,#628 & 627 REPL                              ,7/12/2007,476.26,476.26,0.00,476.26,0.00,200DB,5.0,166,Equipment,6.48,-1.48,0.00,N,0.00
37,166_Install Property Sign                    ,7/12/2007,725.00,318.31,42.81,361.12,363.88,150DB,15.0,166,Equipment,6.48,8.52,0.00,N,0.00
38,166_SMOKE ALARMS                             ,8/9/2007,10.37,10.37,0.00,10.37,0.00,200DB,5.0,166,Equipment,6.40,-1.40,0.00,N,0.00
39,Land-Carryover basis                         ,7/1/2001,551632.00,0.00,0.00,0.00,551632.00,Land,0.0,166,Land,12.51,-12.51,0.00,N,0.00
40,166_SILICONE SPRAY                           ,8/15/2007,7.21,1.40,0.26,1.66,5.55,S/L,27.5,166,Equipment,6.38,21.12,5.55,N,0.00
41,Capital Improvements                         ,6/30/2005,315019.00,86391.60,11455.24,97846.84,217172.16,S/L,27.5,166,Capital Improvements,8.51,18.99,0.00,N,0.00
42,Water Heaters                                ,6/30/2005,3440.46,3440.46,0.00,3440.46,0.00,200DB,5.0,166,Equipment,8.51,-3.51,0.00,N,0.00
43,Radios                                       ,6/30/2005,509.05,509.05,0.00,509.05,0.00,200DB,5.0,166,Equipment,8.51,-3.51,0.00,N,0.00
44,Copier                                       ,6/30/2005,1221.33,1221.33,0.00,1221.33,0.00,200DB,5.0,166,Equipment,8.51,-3.51,0.00,N,0.00
45,Fax                                          ,6/30/2005,563.18,563.18,0.00,563.18,0.00,200DB,7.0,166,Equipment,8.51,-1.51,0.00,N,0.00
46,Disposal                                     ,6/30/2005,612.03,612.03,0.00,612.03,0.00,200DB,5.0,166,Equipment,8.51,-3.51,0.00,N,0.00
47,Computer                                     ,6/30/2005,2896.73,2896.73,0.00,2896.73,0.00,200DB,5.0,166,Equipment,8.51,-3.51,0.00,N,0.00
48,Land-broker fee                              ,6/30/2005,15750.00,0.00,0.00,0.00,15750.00,Land,0.0,166,Land,8.51,-8.51,0.00,N,0.00
49,HVAC                                         ,6/30/2005,13460.97,3691.57,489.49,4181.06,9279.91,S/L,27.5,166,Capital Improvements,8.51,18.99,0.00,N,0.00
50,Benches                                      ,6/30/2005,144.51,144.51,0.00,144.51,0.00,200DB,7.0,166,Furniture & Fixtures,8.51,-1.51,0.00,N,0.00
51,Security Gates                               ,6/30/2005,22806.00,6254.38,829.31,7083.69,15722.31,S/L,27.5,166,Capital Improvements,8.51,18.99,0.00,N,0.00
52,Landscaping Improvements                     ,6/30/2005,278076.00,154925.18,16420.11,171345.29,106730.71,150DB,15.0,166,Capital Improvements,8.51,6.49,0.00,N,0.00
53,Appliances                                   ,6/30/2005,69744.00,69744.00,0.00,69744.00,0.00,200DB,7.0,166,Capital Improvements,8.51,-1.51,0.00,N,0.00
54,Signs                                        ,6/30/2005,31931.00,8756.85,1161.13,9917.98,22013.02,S/L,27.5,166,Capital Improvements,8.51,18.99,0.00,N,0.00
55,Office Chairs                                ,6/30/2005,208.45,208.45,0.00,208.45,0.00,200DB,7.0,166,Furniture & Fixtures,8.51,-1.51,0.00,N,0.00
56,Interior Carpentry / Carpeting               ,6/30/2005,191140.14,191140.14,0.00,191140.14,0.00,200DB,5.0,166,Capital Improvements,8.51,-3.51,0.00,N,0.00
57,Office Improvements/Pool Area                ,6/30/2005,62508.00,62508.00,0.00,62508.00,0.00,200DB,7.0,166,Capital Improvements,8.51,-1.51,0.00,N,0.00
58,166_E_Range/Ventahood                        ,4/15/2007,312.84,312.84,0.00,312.84,0.00,200DB,5.0,166,Equipment,6.72,-1.72,0.00,N,0.00
59,166_E_Refrigerator/Icemaker                  ,4/15/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.72,-1.72,0.00,N,0.00
60,166_E_Washer/Dryer                           ,4/15/2007,829.90,829.90,0.00,829.90,0.00,200DB,5.0,166,Equipment,6.72,-1.72,0.00,N,0.00
61,Building-Carryover basis                     ,7/1/2001,6796335.00,4273940.60,247139.45,4521080.05,2275254.95,S/L,27.5,166,Building,12.51,14.99,0.00,N,0.00
62,Other assets-Carryover basis                 ,7/1/2001,124311.00,124311.00,0.00,124311.00,0.00,200DB,5.0,166,Equipment,12.51,-7.51,0.00,N,0.00
63,166_E_Refrigerator/Icemaker                  ,5/15/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.64,-1.64,0.00,N,0.00
64,Water Heaters                                ,7/1/2011,594.25,31.51,21.61,53.12,541.13,S/L,27.5,166,Capital Improvements,2.50,25.00,0.00,N,0.00
65,Building-broker fee                          ,6/30/2005,89250.00,24476.10,3245.45,27721.55,61528.45,S/L,27.5,166,Building,8.51,18.99,0.00,N,0.00
66,166_Washer/Dryer Hose                        ,6/19/2007,15.16,15.16,0.00,15.16,0.00,200DB,5.0,166,Equipment,6.54,-1.54,0.00,N,0.00
67,166_Range/Ventahood                          ,7/19/2007,312.84,312.84,0.00,312.84,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
68,166_Range/HoodVent                           ,7/25/2007,312.84,312.84,0.00,312.84,0.00,200DB,5.0,166,Equipment,6.44,-1.44,0.00,N,0.00
69,166_Range/Venthood                           ,7/19/2007,312.84,312.84,0.00,312.84,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
70,166_Washer/Dryer                             ,7/10/2007,805.38,805.38,0.00,805.38,0.00,200DB,5.0,166,Equipment,6.48,-1.48,0.00,N,0.00
71,166_Washer/Dryer                             ,7/19/2007,805.38,805.38,0.00,805.38,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
72,166_Washer/Dryer                             ,7/19/2007,805.38,805.38,0.00,805.38,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
73,166_Refigerator/Icemaker                     ,7/10/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.48,-1.48,0.00,N,0.00
74,166_Refrigerator/Icemaker                    ,7/19/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
75,166_Refrigerator/Icemaker                    ,7/25/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.44,-1.44,0.00,N,0.00
76,166_Dishwasher                               ,7/10/2007,214.34,214.34,0.00,214.34,0.00,200DB,5.0,166,Equipment,6.48,-1.48,0.00,N,0.00
77,166_Dishwasher                               ,7/19/2007,214.34,214.34,0.00,214.34,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
78,166_Dishwasher                               ,7/19/2007,214.34,214.34,0.00,214.34,0.00,200DB,5.0,166,Equipment,6.46,-1.46,0.00,N,0.00
79,166_RANGE VENT-A-H                           ,8/9/2007,312.84,312.84,0.00,312.84,0.00,200DB,5.0,166,Equipment,6.40,-1.40,0.00,N,0.00
80,166_#813 FULL SET O                          ,8/9/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.40,-1.40,0.00,N,0.00
81,166_Dishwasher                               ,8/9/2007,214.34,214.34,0.00,214.34,0.00,200DB,5.0,166,Equipment,6.40,-1.40,0.00,N,0.00
82,166_#238 REFRIG                              ,9/7/2007,312.84,312.84,0.00,312.84,0.00,200DB,5.0,166,Equipment,6.32,-1.32,0.00,N,0.00
83,166_#238 REFRIG                              ,9/7/2007,822.70,822.70,0.00,822.70,0.00,200DB,5.0,166,Equipment,6.32,-1.32,0.00,N,0.00
84,166_2 REFRIGERTOR-1                          ,9/13/2007,805.38,805.38,0.00,805.38,0.00,200DB,5.0,166,Equipment,6.30,-1.30,0.00,N,0.00
85,166_#238 REFRIG                              ,9/7/2007,431.92,431.92,0.00,431.92,0.00,200DB,5.0,166,Equipment,6.32,-1.32,0.00,N,0.00
86,166_2 REFRIGERTOR-1                          ,9/13/2007,863.84,863.84,0.00,863.84,0.00,200DB,5.0,166,Equipment,6.30,-1.30,0.00,N,0.00
87,166_#238 REFRIG                              ,9/7/2007,214.34,214.34,0.00,214.34,0.00,200DB,5.0,166,Equipment,6.32,-1.32,0.00,N,0.00
88,166_#814 washer dry                          ,10/2/2007,2416.14,2416.14,0.00,2416.14,0.00,200DB,5.0,166,Equipment,6.25,-1.25,0.00,N,0.00
89,166_washer                                   ,11/1/2007,805.38,805.38,0.00,805.38,0.00,200DB,5.0,166,Equipment,6.17,-1.17,0.00,N,0.00
90,166_Dishwasher                               ,11/1/2007,214.34,214.34,0.00,214.34,0.00,200DB,5.0,166,Equipment,6.17,-1.17,0.00,N,0.00
91,166_Range hood                               ,8/9/2007,113.08,113.08,0.00,113.08,0.00,200DB,5.0,166,Equipment,6.40,-1.40,0.00,N,0.00
92,166_F_Furnishings                            ,4/15/2007,8118.75,8118.75,0.00,8118.75,0.00,200DB,5.0,166,Furniture & Fixtures,6.72,-1.72,0.00,N,0.00
93,166_F_Amenity Replacements                   ,5/15/2007,1183.05,1183.05,0.00,1183.05,0.00,200DB,5.0,166,Furniture & Fixtures,6.64,-1.64,0.00,N,0.00
94,166_F_Outdoor Furniture                      ,5/15/2007,5675.55,5675.55,0.00,5675.55,0.00,200DB,5.0,166,Furniture & Fixtures,6.64,-1.64,0.00,N,0.00
95,166_2 WAY RADIOS  4                          ,11/20/2007,702.76,702.76,0.00,702.76,0.00,200DB,5.0,166,Furniture & Fixtures,6.12,-1.12,0.00,N,0.00
96,Air Conditioning & Heat                      ,6/1/2013,1228.84,0.00,24.20,24.20,1204.64,S/L,27.5,166,Capital Improvements,0.58,26.92,0.00,N,0.00
97,Supervision                                  ,10/1/2013,4056.46,0.00,30.73,30.73,4025.73,S/L,27.5,166,Capital Improvements,0.25,27.25,0.00,Y,4025.73
112,Appliances                                   ,6/1/2013,1438.65,0.00,863.19,863.19,575.46,200DB,5.0,166,Furniture & Fixtures,0.58,4.42,0.00,N,0.00
113,Appliances                                   ,8/1/2013,3341.68,0.00,2005.01,2005.01,1336.67,200DB,5.0,166,Furniture & Fixtures,0.42,4.58,0.00,N,0.00
114,Appliances                                   ,9/1/2013,7195.38,0.00,4317.23,4317.23,2878.15,200DB,5.0,166,Furniture & Fixtures,0.33,4.67,0.00,N,0.00
115,Appliances                                   ,12/1/2013,10020.71,0.00,6012.42,6012.42,4008.29,200DB,5.0,166,Furniture & Fixtures,0.08,4.92,0.00,N,0.00
157,Air Conditioning & Heat                      ,7/1/2012,1694.93,28.25,61.63,89.88,1605.05,S/L,27.5,166,Capital Improvements,1.50,26.00,0.00,N,0.00
158,Air Conditioning & Heat                      ,6/1/2012,1047.06,20.62,38.07,58.69,988.37,S/L,27.5,166,Capital Improvements,1.58,25.92,0.00,N,0.00
159,Air Conditioning & Heat                      ,5/1/2012,378.53,8.60,13.76,22.36,356.17,S/L,27.5,166,Capital Improvements,1.67,25.83,0.00,N,0.00
160,Air Conditioning & Heat                      ,4/1/2012,1394.26,35.91,50.70,86.61,1307.65,S/L,27.5,166,Capital Improvements,1.75,25.75,0.00,N,0.00
198,Basic Electrical-Apt Int                     ,6/1/2012,3416.66,67.30,124.24,191.54,3225.12,S/L,27.5,166,Capital Improvements,1.58,25.92,0.00,N,0.00
199,Cleaning & Grubbing                          ,2/1/2013,8335.25,0.00,4376.01,4376.01,3959.24,150DB,15.0,166,Land Improvements,0.91,14.09,0.00,N,0.00
204,Brick & Foundation- Apt Ext                  ,6/1/2012,22745.00,448.01,827.09,1275.10,21469.90,S/L,27.5,166,Capital Improvements,1.58,25.92,0.00,N,0.00
209,Communications Alarms-Office                 ,8/1/2013,11693.76,0.00,159.46,159.46,11534.30,S/L,27.5,166,Capital Improvements,0.42,27.08,0.00,N,0.00
275,Erosion Control                              ,2/1/2013,1039.20,0.00,545.58,545.58,493.62,150DB,15.0,166,Land Improvements,0.91,14.09,0.00,N,0.00
278,Ext. Conc. Deck & Fill                       ,12/1/2013,1130.00,0.00,593.25,593.25,536.75,150DB,15.0,166,Capital Improvements,0.08,14.92,0.00,N,0.00
345,Finish Carpentry                             ,10/1/2013,4222.30,0.00,31.99,31.99,4190.31,S/L,27.5,166,Capital Improvements,0.25,27.25,0.00,N,0.00
346,Finish Carpentry                             ,7/1/2013,15624.41,0.00,260.41,260.41,15364.00,S/L,27.5,166,Capital Improvements,0.50,27.00,0.00,N,0.00
347,Finish Carpentry                             ,8/1/2013,22730.22,0.00,309.96,309.96,22420.26,S/L,27.5,166,Capital Improvements,0.42,27.08,0.00,N,0.00
366,Construction Travel                          ,12/1/2012,40.52,0.06,1.47,1.53,38.99,S/L,27.5,166,Capital Improvements,1.08,26.42,38.99,N,0.00
367,Construction Travel                          ,10/1/2012,19.43,0.15,0.71,0.86,18.57,S/L,27.5,166,Capital Improvements,1.25,26.25,18.57,N,0.00
368,Construction Travel                          ,9/1/2012,22.20,0.24,0.81,1.05,21.15,S/L,27.5,166,Capital Improvements,1.33,26.17,21.15,N,0.00
369,Construction Travel                          ,8/1/2012,49.95,0.68,1.82,2.50,47.45,S/L,27.5,166,Capital Improvements,1.42,26.08,47.45,N,0.00
370,Construction Travel                          ,7/1/2012,16.10,0.27,0.59,0.86,15.24,S/L,27.5,166,Capital Improvements,1.50,26.00,15.24,N,0.00
371,Construction Travel                          ,6/1/2012,13.88,0.27,0.50,0.77,13.11,S/L,27.5,166,Capital Improvements,1.58,25.92,13.11,N,0.00
372,Construction Travel                          ,3/1/2012,22.20,0.64,0.81,1.45,20.75,S/L,27.5,166,Capital Improvements,1.84,25.66,20.75,N,0.00
400,Gutter & Downspouts                          ,12/1/2013,5775.00,0.00,8.75,8.75,5766.25,S/L,27.5,166,Capital Improvements,0.08,27.42,0.00,N,0.00
